1,,NICOBAR,0.3,8.7,-97%,LD,780.8,791.3,-1%,N
2,,NORTH & MIDDLE ANDAMAN,9.65,15.9,-39%,D,1363.8,1430.8,-5%,N
3,,SOUTH ANDAMAN,32.9,16.3,102%,LE,1430.6,1206.5,19%,N
1,,ANJAW,1.0,6.3,-84%,LD,475.9,1317.9,-64%,LD
2,,CHANGLANG,32.4,11.5,182%,LE,1473.8,1088.9,35%,E
3,,DIBANG VALLEY,0.0,3.6,-100%,NR,711.0,914.6,-22%,D
4,,EAST KAMENG,0.0,7.5,-100%,NR,688.7,960.8,-28%,D
5,,EAST SIANG,68.8,20.3,239%,LE,1593.1,2565.8,-38%,D
6,,KURUNG KUMEY,,8.3,,*,,910.2,,*
7,,LOHIT,17.2,9.1,89%,LE,1175.8,1266.8,-7%,N
8,,LOWER DIBANG VALLEY,54.4,13.1,315%,LE,2502.5,1865.4,34%,E
9,,LOWER SUBANSIRI,1.4,5.2,-73%,LD,333.0,606.9,-45%,D
10,,PAPUMPARA,2.3,11.4,-80%,LD,1276.2,1753.4,-27%,D
11,,TAWANG,0.1,9.1,-99%,LD,422.7,788.2,-46%,D
12,,TIRAP,,10.5,,*,1133.4,1600.6,-29%,D
13,,UPPER SIANG,0.6,12.4,-95%,LD,927.6,1328.4,-30%,D
14,,UPPER SUBANSIRI,13.1,4.1,220%,LE,1129.6,750.3,51%,E
15,,WEST KAMENG,0.0,12.3,-100%,NR,683.1,1378.5,-50%,D
16,,WEST SIANG,4.3,11.8,-64%,LD,1061.3,1597.2,-34%,D
1,,BAKSA,0.0,10.1,-100%,NR,1359.4,1258.4,8%,N
2,,BARPETA,0.0,18.1,-100%,NR,1638.0,1724.3,-5%,N
3,,BONGAIGAON,0.2,24.8,-99%,LD,1396.6,1950.2,-28%,D
4,,CACHAR,19.5,14.9,31%,E,1366.1,1474.2,-7%,N
5,,CHIRANG,0.0,19.7,-100%,NR,1280.4,1955.3,-35%,D
6,,DARRANG,0.0,9.7,-100%,NR,497.1,1062.2,-53%,D
7,,DHEMAJI,32.7,15.4,112%,LE,1225.9,1657.7,-26%,D
8,,DHUBRI,0.0,17.2,-100%,NR,1822.9,1740.7,5%,N
9,,DIBRUGARH,55.6,11.1,401%,LE,1192.1,1202.8,-1%,N
10,,DIMA HASAO,0.0,5.7,-100%,NR,717.8,833.3,-14%,N
11,,GOALPARA,2.9,14.2,-80%,LD,1149.2,1652.5,-30%,D
12,,GOLAGHAT,43.1,6.3,583%,LE,826.6,843.6,-2%,N
13,,HAILAKANDI,66.0,7.3,805%,LE,1363.2,1238.3,10%,N
14,,JORHAT,13.3,10.2,30%,E,991.2,1010.1,-2%,N
15,,KAMRUP (RURAL),0.0,8.5,-100%,NR,681.6,1064.4,-36%,D
16,,KAMRUP METRO.,4.7,5.9,-21%,D,837.1,861.5,-3%,N
17,,KARBI ANGLONG,2.3,5.2,-56%,D,554.5,652.5,-15%,N
18,,KARIMGANJ,21.8,15.1,44%,E,1623.7,1776.8,-9%,N
19,,KOKRAJHAR,0.0,13.8,-100%,NR,2171.8,2225.6,-2%,N
20,,LAKHIMPUR,5.9,12.8,-54%,D,1319.9,1643.0,-20%,D
21,,MORIGAON,0.1,9.5,-99%,LD,819.2,911.9,-10%,N
